timestamp,product,capacity,shop,price,cost_price,profit,decision,previous_delta,yesterday_delta,status,message,url
2026-06-23T07:01:47.623058+00:00,iPhone 17 Pro 256GB,256GB,海峡通信,178000,179800,-1800,WAIT,,,ok,目標未達,https://www.mobile-ichiban.com/Prod/1/01/36
2026-06-23T07:01:47.623058+00:00,iPhone 17 Pro 512GB,512GB,海峡通信,214000,214800,-800,WAIT,,,ok,目標未達,https://www.mobile-ichiban.com/Prod/1/01/36
2026-06-23T07:01:47.623058+00:00,iPhone 17 Pro Max 256GB,256GB,海峡通信,192500,194800,-2300,WAIT,,,ok,目標未達,https://www.mobile-ichiban.com/Prod/1/01/37
2026-06-23T07:01:47.623058+00:00,iPhone 17 Pro Max 512GB,512GB,海峡通信,229000,229800,-800,WAIT,,,ok,目標未達,https://www.mobile-ichiban.com/Prod/1/01/37
2026-06-23T07:07:43.996337+00:00,iPhone 17 Pro 256GB,256GB,海峡通信,178000,179800,-1800,WAIT,0,,ok,目標未達,https://www.mobile-ichiban.com/Prod/1/01/36
2026-06-23T07:07:43.996337+00:00,iPhone 17 Pro 512GB,512GB,海峡通信,214000,214800,-800,WAIT,0,,ok,目標未達,https://www.mobile-ichiban.com/Prod/1/01/36
2026-06-23T07:07:43.996337+00:00,iPhone 17 Pro Max 256GB,256GB,海峡通信,192500,194800,-2300,WAIT,0,,ok,目標未達,https://www.mobile-ichiban.com/Prod/1/01/37
2026-06-23T07:07:43.996337+00:00,iPhone 17 Pro Max 512GB,512GB,海峡通信,229000,229800,-800,WAIT,0,,ok,目標未達,https://www.mobile-ichiban.com/Prod/1/01/37
2026-06-23T16:16:06.173273+00:00,iPhone 17 Pro 256GB,256GB,海峡通信,,179800,,ALERT,,,failed,"海峡通信の取得に失敗: 3回リトライ後も取得失敗: HTTPSConnectionPool(host='www.mobile-ichiban.com', port=443): Max retries exceeded with url: /Prod/1/01/36 (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.mobile-ichiban.com', port=443) at 0x7f0104762c30>, 'Connection to www.mobile-ichiban.com timed out. (connect timeout=20)'))",https://www.mobile-ichiban.com/Prod/1/01/36
2026-06-23T16:16:06.173273+00:00,iPhone 17 Pro 512GB,512GB,海峡通信,,214800,,ALERT,,,failed,"海峡通信の取得に失敗: 3回リトライ後も取得失敗: HTTPSConnectionPool(host='www.mobile-ichiban.com', port=443): Max retries exceeded with url: /Prod/1/01/36 (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.mobile-ichiban.com', port=443) at 0x7f0104762c30>, 'Connection to www.mobile-ichiban.com timed out. (connect timeout=20)'))",https://www.mobile-ichiban.com/Prod/1/01/36
2026-06-23T16:16:06.173273+00:00,iPhone 17 Pro Max 256GB,256GB,海峡通信,,194800,,ALERT,,,failed,"海峡通信の取得に失敗: 3回リトライ後も取得失敗: HTTPSConnectionPool(host='www.mobile-ichiban.com', port=443): Max retries exceeded with url: /Prod/1/01/37 (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.mobile-ichiban.com', port=443) at 0x7f0103f24e90>, 'Connection to www.mobile-ichiban.com timed out. (connect timeout=20)'))",https://www.mobile-ichiban.com/Prod/1/01/37
2026-06-23T16:16:06.173273+00:00,iPhone 17 Pro Max 512GB,512GB,海峡通信,,229800,,ALERT,,,failed,"海峡通信の取得に失敗: 3回リトライ後も取得失敗: HTTPSConnectionPool(host='www.mobile-ichiban.com', port=443): Max retries exceeded with url: /Prod/1/01/37 (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.mobile-ichiban.com', port=443) at 0x7f0103f24e90>, 'Connection to www.mobile-ichiban.com timed out. (connect timeout=20)'))",https://www.mobile-ichiban.com/Prod/1/01/37
2026-06-23T22:04:40.745347+00:00,iPhone 17 Pro 256GB,256GB,海峡通信,178000,179800,-1800,WAIT,0,,ok,目標未達,https://www.mobile-ichiban.com/Prod/1/01/36
2026-06-23T22:04:40.745347+00:00,iPhone 17 Pro 512GB,512GB,海峡通信,178000,214800,-36800,ALERT,-36000,,ok,"前回比 -36,000円",https://www.mobile-ichiban.com/Prod/1/01/36
2026-06-23T22:04:40.745347+00:00,iPhone 17 Pro Max 256GB,256GB,海峡通信,192500,194800,-2300,WAIT,0,,ok,目標未達,https://www.mobile-ichiban.com/Prod/1/01/37
2026-06-23T22:04:40.745347+00:00,iPhone 17 Pro Max 512GB,512GB,海峡通信,192500,229800,-37300,ALERT,-36500,,ok,"前回比 -36,500円",https://www.mobile-ichiban.com/Prod/1/01/37
